Serie;Codigo_municipio;Nombre;afiliados_30a49_2020;afiliados_30a49_2021;afiliados_30a49_2022;afiliados_30a49_2023;afiliados_mayores_50_2020;afiliados_mayores_50_2021;afiliados_mayores_50_2022;afiliados_mayores_50_2023;afiliados_menores_18_2020;afiliados_menores_18_2021;afiliados_menores_18_2022;afiliados_menores_18_2023;afiliados_menores_30_2020;afiliados_menores_30_2021;afiliados_menores_30_2022;afiliados_menores_30_2023;afiliados_total_2020;afiliados_total_2021;afiliados_total_2022;afiliados_total_2023;porcentaje_30a49_2020;porcentaje_30a49_2021;porcentaje_30a49_2022;porcentaje_30a49_2023;porcentaje_mayores_50_2020;porcentaje_mayores_50_2021;porcentaje_mayores_50_2022;porcentaje_mayores_50_2023;porcentaje_menores_30_2020;porcentaje_menores_30_2021;porcentaje_menores_30_2022;porcentaje_menores_30_2023
Municipios;0611;Galapagar;7361;7178;7177;7214;5343;5473;5923;6254;1;0;2;2;2229;1986;2326;2472;14933;14637;15426;15940;49.29;49.04;46.53;45.26;35.78;37.39;38.40;39.23;14.93;13.57;15.08;15.51
Municipios;0626;Garganta de los Montes;57;59;65;67;41;44;57;52;0;0;0;0;22;23;22;21;120;126;144;140;47.50;46.83;45.14;47.86;34.17;34.92;39.58;37.14;18.33;18.25;15.28;15.00
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;59;53;45;51;35;35;44;50;0;1;1;1;3;5;9;9;97;93;98;110;60.82;56.99;45.92;46.36;36.08;37.63;44.90;45.45;3.09;5.38;9.18;8.18
Municipios;0647;Gascones;32;37;39;42;33;38;42;44;0;0;0;0;19;12;14;15;84;87;95;101;38.10;42.53;41.05;41.58;39.29;43.68;44.21;43.56;22.62;13.79;14.74;14.85
Municipios;0650;Getafe;44678;43494;44044;44084;21263;22004;23805;25574;8;5;5;8;10608;9616;10799;11340;76549;75114;78648;80998;58.37;57.90;56.00;54.43;27.78;29.29;30.27;31.57;13.86;12.80;13.73;14.00
Municipios;0663;Griñón;2133;2086;2057;2061;1284;1331;1401;1483;2;0;1;0;622;583;643;661;4039;4000;4101;4205;52.81;52.15;50.16;49.01;31.79;33.28;34.16;35.27;15.40;14.58;15.68;15.72
Municipios;0679;Guadalix de la Sierra;1262;1246;1274;1268;806;847;929;990;1;1;2;3;383;335;378;408;2451;2428;2581;2666;51.49;51.32;49.36;47.56;32.88;34.88;35.99;37.13;15.63;13.80;14.65;15.30
Municipios;0685;Guadarrama;3405;3237;3224;3215;2296;2393;2549;2686;2;0;0;0;935;855;908;1009;6636;6485;6681;6910;51.31;49.92;48.26;46.53;34.60;36.90;38.15;38.87;14.09;13.18;13.59;14.60
Municipios;0698;Hiruela (La);2;1;3;3;3;3;3;4;0;0;0;0;1;1;0;0;6;5;6;7;33.33;20.00;50.00;42.86;50.00;60.00;50.00;57.14;16.67;20.00;0.00;0.00
Municipios;0702;Horcajo de la Sierra0Aoslos;27;26;25;27;20;17;19;25;0;0;0;0;9;7;8;8;56;50;52;60;48.21;52.00;48.08;45.00;35.71;34.00;36.54;41.67;16.07;14.00;15.38;13.33
Municipios;0719;Horcajuelo de la Sierra;8;14;21;15;11;13;11;14;0;0;0;0;6;8;6;6;25;35;38;35;32.00;40.00;55.26;42.86;44.00;37.14;28.95;40.00;24.00;22.86;15.79;17.14
Municipios;0724;Hoyo de Manzanares;1539;1511;1512;1543;1256;1321;1392;1425;0;0;0;0;476;439;505;546;3271;3271;3409;3514;47.05;46.19;44.35;43.91;38.40;40.39;40.83;40.55;14.55;13.42;14.81;15.54
Municipios;0730;Humanes de Madrid;5079;4960;5015;5065;2015;2085;2231;2430;5;4;2;2;1115;971;1036;1132;8209;8016;8282;8627;61.87;61.88;60.55;58.71;24.55;26.01;26.94;28.17;13.58;12.11;12.51;13.12
Municipios;0745;Leganés;45880;44267;44332;43953;22508;23317;24870;26496;15;10;8;7;10972;9897;10750;11449;79360;77481;79952;81898;57.81;57.13;55.45;53.67;28.36;30.09;31.11;32.35;13.83;12.77;13.45;13.98
Municipios;0758;Loeches;2129;2049;2083;2047;1029;1088;1171;1275;3;1;1;1;497;441;539;556;3655;3578;3793;3878;58.25;57.27;54.92;52.78;28.15;30.41;30.87;32.88;13.60;12.33;14.21;14.34
Municipios;0761;Lozoya;109;110;113;109;69;69;80;77;0;0;0;0;25;13;20;15;203;192;213;201;53.69;57.29;53.05;54.23;33.99;35.94;37.56;38.31;12.32;6.77;9.39;7.46
Municipios;9015;Lozoyuela0Navas0Sieteiglesias;223;215;228;210;127;131;153;170;0;0;0;0;55;50;65;69;405;396;446;449;55.06;54.29;51.12;46.77;31.36;33.08;34.30;37.86;13.58;12.63;14.57;15.37
Municipios;0783;Madarcos;13;10;10;11;13;15;13;15;0;0;0;0;2;2;4;3;28;27;27;29;46.43;37.04;37.04;37.93;46.43;55.56;48.15;51.72;7.14;7.41;14.81;10.34
Municipios;0796;Madrid;768283;740116;751546;758224;467885;474664;498488;521269;141;84;85;103;200744;178978;201200;214508;1436912;1393758;1451234;1494001;53.47;53.10;51.79;50.75;32.56;34.06;34.35;34.89;13.97;12.84;13.86;14.36
Municipios;0800;Majadahonda;16281;15589;15689;15543;10293;10667;11265;11844;3;2;1;3;4136;3787;4231;4513;30710;30043;31185;31900;53.02;51.89;50.31;48.72;33.52;35.51;36.12;37.13;13.47;12.61;13.57;14.15
Municipios;0822;Manzanares el Real;1855;1813;1820;1775;1110;1198;1283;1382;2;1;2;1;376;350;382;425;3341;3361;3485;3582;55.52;53.94;52.22;49.55;33.22;35.64;36.81;38.58;11.25;10.41;10.96;11.86
Municipios;0838;Meco;2822;2793;2834;2817;1641;1733;1902;2000;0;1;1;1;858;813;915;956;5321;5339;5651;5773;53.04;52.31;50.15;48.80;30.84;32.46;33.66;34.64;16.12;15.23;16.19;16.56
Municipios;0843;Mejorada del Campo;5896;5682;5820;5824;3077;3079;3209;3341;1;1;2;1;1640;1483;1627;1579;10613;10244;10656;10744;55.55;55.47;54.62;54.21;28.99;30.06;30.11;31.10;15.45;14.48;15.27;14.70
Municipios;0856;Miraflores de la Sierra;1261;1218;1256;1262;807;872;926;998;0;0;1;1;309;305;321;328;2377;2395;2503;2588;53.05;50.86;50.18;48.76;33.95;36.41;37.00;38.56;13.00;12.73;12.82;12.67
Municipios;0869;Molar (El);1936;1876;1958;1970;986;1012;1079;1182;0;0;2;1;464;420;473;491;3386;3308;3510;3643;57.18;56.71;55.78;54.08;29.12;30.59;30.74;32.45;13.70;12.70;13.48;13.48
Municipios;0875;Molinos (Los);853;826;852;889;652;676;707;710;0;0;0;0;275;243;277;294;1780;1745;1836;1893;47.92;47.34;46.41;46.96;36.63;38.74;38.51;37.51;15.45;13.93;15.09;15.53
Municipios;0881;Montejo de la Sierra;29;37;38;35;45;43;49;50;0;0;0;0;18;21;19;25;92;101;106;110;31.52;36.63;35.85;31.82;48.91;42.57;46.23;45.45;19.57;20.79;17.92;22.73
Municipios;0894;Moraleja de Enmedio;1142;1127;1154;1163;672;682;727;769;1;1;2;2;400;358;388;402;2214;2167;2269;2334;51.58;52.01;50.86;49.83;30.35;31.47;32.04;32.95;18.07;16.52;17.10;17.22
Municipios;0908;Moralzarzal;2576;2475;2419;2384;1740;1867;2043;2212;1;0;0;0;643;637;738;824;4959;4979;5200;5420;51.95;49.71;46.52;43.99;35.09;37.50;39.29;40.81;12.97;12.79;14.19;15.20
Municipios;0915;Morata de Tajuña;1661;1628;1739;1717;820;830;876;967;0;0;1;0;470;430;440;459;2951;2888;3055;3143;56.29;56.37;56.92;54.63;27.79;28.74;28.67;30.77;15.93;14.89;14.40;14.60
Municipios;0920;Móstoles;52423;51082;51592;51724;25272;25294;26296;27298;7;8;11;8;12645;10919;12059;12493;90340;87295;89947;91515;58.03;58.52;57.36;56.52;27.97;28.98;29.23;29.83;14.00;12.51;13.41;13.65
