Serie;Codigo_municipio;Nombre;evolucion_paro_registrado_2020;evolucion_paro_registrado_2021;evolucion_paro_registrado_2022;evolucion_paro_registrado_2023;paro_y_44_2020;paro_y_44_2021;paro_y_44_2022;paro_y_44_2023;paro_mayores_25_2020;paro_mayores_25_2021;paro_mayores_25_2022;paro_mayores_25_2023;paro_mayores_45_2020;paro_mayores_45_2021;paro_mayores_45_2022;paro_mayores_45_2023;paro_menores_25_2020;paro_menores_25_2021;paro_menores_25_2022;paro_menores_25_2023;paro_100_habitantes_2020;paro_100_habitantes_2021;paro_100_habitantes_2022;paro_100_habitantes_2023;paro_registrado_total_2020;paro_registrado_total_2021;paro_registrado_total_2022;paro_registrado_total_2023;porcentaje_mayores_25_2020;porcentaje_mayores_25_2021;porcentaje_mayores_25_2022;porcentaje_mayores_25_2023;porcentaje_menores_25_2020;porcentaje_menores_25_2021;porcentaje_menores_25_2022;porcentaje_menores_25_2023;variacion_paro_registrado_2020;variacion_paro_registrado_2021;variacion_paro_registrado_2022;variacion_paro_registrado_2023
Municipios;0506;Cubas de la Sagra;0.28;0.51;-1.27;;140;151;102;96;287;309;243;240;147;158;141;144;20;37;21;34;4.69;5.21;3.94;;307;346;264;274;93.49;89.31;92.05;87.59;6.51;10.69;7.95;12.41;8.48;12.70;-23.70;3.79
Municipios;0534;Daganzo de Arriba;0.52;0.67;-1.02;;190;169;112;105;469;520;457;414;279;351;345;309;40;68;30;42;4.92;5.59;4.57;;509;588;487;456;92.14;88.44;93.84;90.79;7.86;11.56;6.16;9.21;13.36;15.52;-17.18;-6.37
Municipios;0549;Escorial (El);0.34;0.42;-1.07;;292;328;247;243;792;853;698;717;500;525;451;474;49;70;49;43;5.14;5.56;4.50;;841;923;747;760;94.17;92.42;93.44;94.34;5.83;7.58;6.56;5.66;8.52;9.75;-19.07;1.74
Municipios;0552;Estremera;-0.02;0.92;-1.58;;38;42;35;41;91;103;85;91;53;61;50;50;3;7;5;3;7.05;7.97;6.38;;94;110;90;94;96.81;93.64;94.44;96.81;3.19;6.36;5.56;3.19;5.62;17.02;-18.18;4.44
Municipios;0565;Fresnedillas de la Oliva;-0.80;1.36;-1.09;;49;56;44;45;108;134;122;114;59;78;78;69;7;11;7;7;6.97;8.32;7.23;;115;145;129;121;93.91;92.41;94.57;94.21;6.09;7.59;5.43;5.79;-5.74;26.09;-11.03;-6.20
Municipios;0571;Fresno de Torote;0.30;1.05;-0.36;;47;57;59;48;120;150;144;113;73;93;85;65;10;12;11;12;5.65;6.71;6.34;;130;162;155;125;92.31;92.59;92.90;90.40;7.69;7.41;7.10;9.60;9.24;24.62;-4.32;-19.35
Municipios;0587;Fuenlabrada;-0.07;1.39;-1.80;;5243;6420;4666;3997;11981;14150;11161;10083;6738;7730;6495;6086;1248;1599;977;1108;6.80;8.19;6.39;;13229;15749;12138;11191;90.57;89.85;91.95;90.10;9.43;10.15;8.05;9.90;-0.65;19.05;-22.93;-7.80
Municipios;0590;Fuente el Saz de Jarama;0.27;0.75;-1.37;;173;179;142;123;387;421;361;323;214;242;219;200;30;52;26;29;6.13;6.87;5.50;;417;473;387;352;92.81;89.01;93.28;91.76;7.19;10.99;6.72;8.24;6.38;13.43;-18.18;-9.04
Municipios;0604;Fuentidueña de Tajo;-0.75;1.57;-0.67;;55;80;77;63;151;190;177;147;96;110;100;84;12;15;15;9;7.63;9.20;8.53;;163;205;192;156;92.64;92.68;92.19;94.23;7.36;7.32;7.81;5.77;-5.23;25.77;-6.34;-18.75
Municipios;0611;Galapagar;0.21;1.07;-1.49;;699;874;619;545;1690;2016;1596;1510;991;1142;977;965;122;177;87;107;5.25;6.32;4.83;;1812;2193;1683;1617;93.27;91.93;94.83;93.38;6.73;8.07;5.17;6.62;6.40;21.03;-23.26;-3.92
