Serie;Codigo_municipio;Nombre;crecimiento_relativo_poblacion_2022;crecimiento_relativo_poblacion_2023;densidad_poblacion_2022;densidad_poblacion_2023;edad_media_total_2022;edad_media_total_2023;grado_envejecimiento_mayores_45_2022;grado_envejecimiento_mayores_45_2023;grado_envejecimiento_mayores_55_2022;grado_envejecimiento_mayores_55_2023;grado_envejecimiento_mayores_65_2022;grado_envejecimiento_mayores_65_2023;grado_envejecimiento_mayores_75_2022;grado_envejecimiento_mayores_75_2023;grado_envejecimiento_mayores_85_2022;grado_envejecimiento_mayores_85_2023;grado_juventud_menores_15_2022;grado_juventud_menores_15_2023;grado_juventud_menores_25_2022;grado_juventud_menores_25_2023;grado_juventud_menores_35_2022;grado_juventud_menores_35_2023;grado_juventud_menores_45_2022;grado_juventud_menores_45_2023
Municipios;0626;Garganta de los Montes;-3.65;5.81;9.81;10.38;47.48;46.88;58.08;57.76;39.65;38.19;21.97;21.48;9.60;8.35;2.27;1.67;9.09;9.55;15.66;17.42;27.53;29.12;41.92;42.24
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;10.06;1.31;15.83;16.03;47.68;48.04;63.71;63.40;39.95;41.49;20.89;22.42;8.62;10.05;2.87;4.64;10.70;10.82;18.54;18.56;26.37;25.77;36.29;36.60
Municipios;0647;Gascones;10.99;7.08;10.57;11.32;43.19;43.08;50.94;51.54;34.43;33.48;17.45;16.30;7.08;6.61;1.42;0.88;15.57;15.86;23.58;24.67;37.26;35.24;49.06;48.46
Municipios;0650;Getafe;0.68;1.30;2352.51;2383.09;42.94;43.09;47.95;48.48;30.64;30.92;19.44;19.51;9.64;10.12;2.24;2.35;15.43;15.34;25.14;25.34;35.79;35.80;52.05;51.52
Municipios;0663;Griñón;0.16;0.89;614.39;619.82;41.49;41.93;46.73;47.85;28.77;29.80;15.71;16.31;6.67;6.96;2.87;2.89;16.13;15.72;28.40;28.38;38.13;37.65;53.27;52.15
Municipios;0679;Guadalix de la Sierra;1.26;1.99;110.76;112.97;41.43;41.77;47.74;48.32;27.77;28.86;14.60;15.12;6.98;6.91;2.37;2.25;15.99;15.35;27.80;27.39;37.80;37.55;52.26;51.68
Municipios;0685;Guadarrama;1.73;1.03;294.98;298.02;42.84;43.29;49.40;50.45;31.42;32.51;17.34;18.02;8.59;8.97;3.09;3.17;15.17;14.76;26.70;26.53;36.46;36.09;50.60;49.55
Municipios;0698;Hiruela (La);4.11;-2.63;4.43;4.31;50.70;53.90;65.79;71.62;50.00;55.41;26.32;32.43;10.53;10.81;2.63;2.70;10.53;6.76;14.47;12.16;18.42;16.22;34.21;28.38
Municipios;0702;Horcajo de la Sierra-Aoslos;17.75;17.59;9.38;11.03;45.61;44.38;50.75;50.85;35.18;32.48;21.61;20.09;6.03;5.56;1.01;1.28;12.56;13.25;16.58;19.23;27.64;31.20;49.25;49.15
Municipios;0719;Horcajuelo de la Sierra;2.83;-0.92;4.57;4.53;47.29;48.10;59.63;61.11;42.20;44.44;24.77;26.85;13.76;14.81;2.75;3.70;13.76;12.96;22.02;22.22;33.94;32.41;40.37;38.89
