Serie;Codigo_municipio;Nombre;afiliados_30a49_2022;afiliados_30a49_2023;afiliados_mayores_50_2022;afiliados_mayores_50_2023;afiliados_menores_18_2022;afiliados_menores_18_2023;afiliados_menores_30_2022;afiliados_menores_30_2023;afiliados_total_2022;afiliados_total_2023;porcentaje_30a49_2022;porcentaje_30a49_2023;porcentaje_mayores_50_2022;porcentaje_mayores_50_2023;porcentaje_menores_30_2022;porcentaje_menores_30_2023
Municipios;1375;Santos de la Humosa (Los);538;525;233;251;0;0;99;99;870;875;61.84;60.00;26.78;28.69;11.38;11.31
Municipios;1381;Serna del Monte (La);15;13;20;19;0;0;6;5;41;37;36.59;35.14;48.78;51.35;14.63;13.51
Municipios;1408;Serranillos del Valle;832;854;597;645;0;0;249;291;1678;1790;49.58;47.71;35.58;36.03;14.84;16.26
Municipios;1415;Sevilla la Nueva;2068;2026;1295;1415;1;1;537;572;3900;4013;53.03;50.49;33.21;35.26;13.77;14.25
Municipios;1436;Somosierra;8;10;13;14;0;0;4;7;25;31;32.00;32.26;52.00;45.16;16.00;22.58
Municipios;1441;Soto del Real;1569;1613;1485;1577;0;0;567;559;3621;3749;43.33;43.02;41.01;42.06;15.66;14.91
Municipios;1454;Talamanca de Jarama;901;878;430;499;0;0;178;207;1509;1584;59.71;55.43;28.50;31.50;11.80;13.07
Municipios;1467;Tielmes;566;558;286;313;0;0;162;164;1014;1035;55.82;53.91;28.21;30.24;15.98;15.85
Municipios;1473;Titulcia;248;271;195;187;0;0;85;81;528;539;46.97;50.28;36.93;34.69;16.10;15.03
Municipios;1489;Torrejón de Ardoz;33340;33552;16930;17938;7;3;8262;8651;58532;60141;56.96;55.79;28.92;29.83;14.12;14.38
Municipios;1505;Torrejón de Velasco;915;936;600;653;0;1;255;267;1770;1856;51.69;50.43;33.90;35.18;14.41;14.39
Municipios;1492;Torrejón de la Calzada;1883;1955;1086;1165;2;0;582;555;3551;3675;53.03;53.20;30.58;31.70;16.39;15.10
Municipios;1512;Torrelaguna;969;975;671;707;0;0;299;292;1939;1974;49.97;49.39;34.61;35.82;15.42;14.79
Municipios;1527;Torrelodones;4252;4298;3992;4184;0;0;1438;1556;9682;10038;43.92;42.82;41.23;41.68;14.85;15.50
Municipios;1533;Torremocha de Jarama;135;139;107;112;1;0;51;49;293;300;46.08;46.33;36.52;37.33;17.41;16.33
Municipios;1548;Torres de la Alameda;1683;1660;1026;1065;2;1;496;520;3205;3245;52.51;51.16;32.01;32.82;15.48;16.02
Municipios;9036;Tres Cantos;10190;10506;7415;7690;1;0;3124;3248;20729;21444;49.16;48.99;35.77;35.86;15.07;15.15
Municipios;1551;Valdaracete;117;118;64;72;0;0;44;44;225;234;52.00;50.43;28.44;30.77;19.56;18.80
Municipios;1564;Valdeavero;320;319;131;160;0;0;78;88;529;567;60.49;56.26;24.76;28.22;14.74;15.52
Municipios;1570;Valdelaguna;129;132;86;86;0;0;25;22;240;240;53.75;55.00;35.83;35.83;10.42;9.17
Municipios;1586;Valdemanco;167;163;114;122;0;0;41;47;322;332;51.86;49.10;35.40;36.75;12.73;14.16
Municipios;1599;Valdemaqueda;141;128;105;117;0;0;35;31;281;276;50.18;46.38;37.37;42.39;12.46;11.23
Municipios;1603;Valdemorillo;2601;2574;2088;2250;0;0;751;771;5440;5595;47.81;46.01;38.38;40.21;13.81;13.78
Municipios;1610;Valdemoro;16640;16599;9300;10293;4;3;4307;4686;30247;31578;55.01;52.57;30.75;32.60;14.24;14.84
Municipios;1625;Valdeolmos0Alalpardo;850;888;531;582;1;1;225;247;1606;1717;52.93;51.72;33.06;33.90;14.01;14.39
Municipios;1631;Valdepiélagos;132;135;80;91;0;0;31;30;243;256;54.32;52.73;32.92;35.55;12.76;11.72
Municipios;1646;Valdetorres de Jarama;962;956;574;619;1;0;257;289;1793;1864;53.65;51.29;32.01;33.21;14.33;15.50
Municipios;1659;Valdilecha;645;638;342;367;0;1;189;200;1176;1205;54.85;52.95;29.08;30.46;16.07;16.60
Municipios;1662;Valverde de Alcalá;87;84;75;75;0;0;12;17;174;176;50.00;47.73;43.10;42.61;6.90;9.66
Municipios;1678;Velilla de San Antonio;2850;2923;1883;1984;2;1;927;965;5660;5872;50.35;49.78;33.27;33.79;16.38;16.43
Municipios;1684;Vellón (El);377;373;225;247;0;0;84;105;686;725;54.96;51.45;32.80;34.07;12.24;14.48
Municipios;1697;Venturada;335;330;367;399;0;0;111;125;813;854;41.21;38.64;45.14;46.72;13.65;14.64
Municipios;1718;Villa del Prado;1318;1361;862;908;2;1;441;456;2621;2725;50.29;49.94;32.89;33.32;16.83;16.73
Municipios;1701;Villaconejos;716;675;409;426;0;1;232;233;1357;1334;52.76;50.60;30.14;31.93;17.10;17.47
Municipios;1723;Villalbilla;3306;3474;1773;1917;4;4;712;785;5791;6176;57.09;56.25;30.62;31.04;12.29;12.71
