Serie;Codigo_municipio;Nombre;censo_0a4_2022;censo_0a4_2023;censo_5a9_2022;censo_5a9_2023;censo_10a14_2022;censo_10a14_2023;censo_15a19_2022;censo_15a19_2023;censo_20a24_2022;censo_20a24_2023;censo_25a29_2022;censo_25a29_2023;censo_30a34_2022;censo_30a34_2023;censo_35a39_2022;censo_35a39_2023;censo_40a44_2022;censo_40a44_2023;censo_45a49_2022;censo_45a49_2023;censo_50a54_2022;censo_50a54_2023;censo_55a59_2022;censo_55a59_2023;censo_60a64_2022;censo_60a64_2023;censo_65a69_2022;censo_65a69_2023;censo_70a74_2022;censo_70a74_2023;censo_75a79_2022;censo_75a79_2023;censo_80a84_2022;censo_80a84_2023;censo_85a89_2022;censo_85a89_2023;censo_90a94_2022;censo_90a94_2023;censo_95a99_2022;censo_95a99_2023;censo_100_2022;censo_100_2023;censo_total_2022;censo_total_2023
Municipios;0611;Galapagar;1446;1360;1828;1857;2139;2155;2239;2246;2190;2211;1988;2108;1956;1970;2086;2061;2659;2549;3034;3046;3000;3045;2977;2986;2361;2549;1553;1653;1212;1214;918;974;573;594;412;430;225;224;59;59;5;7;34860;35298
Municipios;0626;Garganta de los Montes;12;13;12;14;12;13;15;15;11;18;23;20;24;29;28;27;29;28;38;46;35;36;36;34;34;36;37;34;12;21;15;14;14;14;4;2;4;4;0;1;1;0;396;419
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;12;15;10;10;19;17;16;17;14;13;12;13;18;15;17;17;21;25;48;42;43;43;42;45;31;29;27;29;20;19;10;11;12;10;7;12;4;6;0;0;0;0;383;388
Municipios;0647;Gascones;7;8;7;7;19;21;11;10;6;10;13;11;16;13;13;19;12;11;16;21;19;20;18;22;18;17;15;17;7;5;11;7;1;6;1;0;2;2;0;0;0;0;212;227
Municipios;0650;Getafe;8739;8378;9960;10142;9868;10242;9378;9680;8600;9071;8937;9012;10763;10601;13676;13397;16429;16097;17528;17731;14519;15189;11143;11629;9585;9774;8274;8266;9875;9340;9036;9591;4667;4979;2760;2937;1072;1149;267;274;43;46;185119;187525
Municipios;0663;Griñón;405;368;599;569;691;729;702;722;587;620;523;496;499;486;672;623;919;914;965;1000;921;914;725;754;647;675;575;576;375;415;244;264;156;168;166;162;101;104;32;34;2;6;10506;10599
Municipios;0679;Guadalix de la Sierra;296;306;352;343;420;397;415;427;374;393;321;320;347;372;421;406;545;557;663;653;671;673;514;530;366;406;288;319;221;240;184;183;124;135;103;100;42;40;10;11;3;2;6680;6813
Municipios;0685;Guadarrama;635;625;884;865;1041;1026;1009;1030;936;975;820;825;825;806;1032;987;1354;1307;1561;1524;1473;1533;1323;1388;1051;1082;786;814;691;728;548;565;380;423;295;299;170;171;49;59;7;12;16870;17044
Municipios;0698;Hiruela (La);5;3;3;2;0;0;0;1;3;3;0;1;3;2;8;5;4;4;7;4;5;8;7;5;11;12;5;7;7;9;4;2;2;4;1;1;1;1;0;0;0;0;76;74
Municipios;0702;Horcajo de la Sierra-Aoslos;4;9;11;11;10;11;3;7;5;7;11;15;11;13;16;18;27;24;17;25;14;18;17;16;10;13;15;19;16;15;6;7;4;3;1;2;1;1;0;0;0;0;199;234
Municipios;0719;Horcajuelo de la Sierra;6;5;3;2;6;7;3;3;6;7;4;6;9;5;3;3;4;4;10;7;9;11;9;10;10;9;6;8;6;5;9;9;3;3;2;3;1;1;0;0;0;0;109;108
Municipios;0724;Hoyo de Manzanares;291;302;463;440;568;552;517;528;554;571;519;550;497;478;492;491;647;620;765;768;736;753;777;795;681;715;405;451;306;330;244;256;149;158;112;107;71;78;22;27;2;1;8818;8971
Municipios;0730;Humanes de Madrid;970;903;1353;1240;1727;1705;1173;1321;938;1002;1002;972;1209;1168;1523;1449;2410;2208;2003;2171;1425;1481;1064;1117;969;992;797;797;497;551;318;350;184;186;129;135;54;67;15;15;2;4;19762;19834
Municipios;0745;Leganés;6862;6671;9111;8956;10239;10297;9398;10031;8778;9444;9336;9710;10084;10280;11619;11386;15883;14963;17496;18027;14470;15102;12020;12373;10455;10824;9514;9237;12102;11702;10040;10675;5697;5999;3381;3534;1295;1407;292;297;50;59;188122;190974
Municipios;0758;Loeches;446;409;552;560;682;632;597;662;455;481;436;449;534;527;735;738;880;851;1050;1085;784;834;606;636;435;465;280;281;197;198;122;142;89;90;75;72;33;35;6;6;1;0;8995;9153
Municipios;0761;Lozoya;13;16;14;17;15;18;18;22;25;23;23;26;37;34;36;41;36;42;53;46;60;53;53;59;53;51;47;48;43;45;29;28;22;26;12;16;7;6;4;4;0;0;600;621
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;45;49;72;70;91;95;65;72;70;74;66;65;79;67;83;86;133;120;164;169;119;129;94;109;89;83;64;72;59;50;50;59;39;38;44;36;25;25;5;4;2;1;1458;1473
Municipios;0783;Madarcos;1;2;1;1;5;4;2;4;1;0;6;7;3;1;4;5;1;4;6;7;9;6;4;9;2;2;5;6;2;3;2;1;6;6;2;3;1;1;0;0;0;0;63;72
Municipios;0796;Madrid;126754;124448;140055;140109;148131;150484;148191;154206;168043;180665;211135;228310;225573;239794;230201;231133;251418;248990;263776;265700;248071;251449;237398;241670;203075;209042;159728;165765;142940;143320;129764;132034;98450;98336;82107;80430;40185;41780;10691;11079;1341;1432;3267027;3340176
