Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado total. Paro registrado por 100 habitantes. Unidad: Ratio. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0685;Guadarrama;3.85;3.03;3.45;5.45;6.27;6.61;7.06;7.78;7.45;6.81;6.10;5.37;5.03;4.66;4.93;5.49;4.60;4.26;
Municipios;0698;Hiruela (La);1.32;1.35;3.95;1.35;1.52;1.82;0.00;0.00;0.00;0.00;0.00;1.92;6.25;3.51;3.08;2.78;2.67;2.70;
Municipios;0702;Horcajo de la Sierra-Aoslos;4.79;3.51;3.49;1.73;8.77;3.98;5.39;5.92;5.59;5.66;6.99;4.93;4.73;4.83;3.95;5.88;4.48;3.42;
Municipios;0719;Horcajuelo de la Sierra;1.87;1.94;0.98;4.40;4.21;3.92;9.47;4.65;3.75;6.82;2.33;2.27;1.12;2.33;3.37;7.55;2.73;2.78;
Municipios;0724;Hoyo de Manzanares;2.61;2.53;2.94;4.29;5.05;5.44;5.94;5.98;6.20;5.34;5.01;4.08;4.11;3.69;4.05;4.80;3.62;3.38;
Municipios;0730;Humanes de Madrid;5.36;4.89;6.17;10.18;11.24;11.10;11.96;13.26;11.95;10.76;9.35;8.00;7.40;7.03;6.88;8.11;6.40;5.87;
Municipios;0745;Leganés;4.37;4.30;4.90;7.80;8.96;8.95;9.77;10.67;10.00;9.19;8.27;7.24;6.49;5.91;5.93;7.12;5.64;5.03;
Municipios;0758;Loeches;3.25;3.85;4.48;7.23;8.83;8.80;9.94;10.53;9.71;8.48;8.07;6.82;6.19;5.47;5.66;6.78;5.79;5.25;
Municipios;0761;Lozoya;1.77;2.69;2.92;4.60;6.72;5.56;7.87;7.52;7.45;7.58;6.25;5.01;4.47;3.96;5.00;5.23;4.65;5.15;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;3.58;3.27;5.43;9.06;8.50;7.52;10.00;9.29;9.03;9.23;7.69;7.28;6.00;5.39;5.52;8.17;4.59;5.19;
Municipios;0783;Madarcos;2.44;2.22;0.00;0.00;6.12;3.57;9.43;10.91;8.51;4.44;4.26;2.17;8.51;4.17;4.08;0.00;1.59;1.39;
Municipios;0796;Madrid;3.56;3.50;3.79;5.72;6.76;6.76;7.46;8.03;7.81;7.34;6.67;6.01;5.57;5.13;5.18;6.49;4.86;4.48;
Municipios;0800;Majadahonda;2.60;2.61;2.81;4.06;4.82;4.73;5.28;5.44;5.21;4.74;4.19;3.63;3.38;2.95;3.14;4.00;2.99;2.73;
Municipios;0822;Manzanares el Real;3.76;3.72;4.30;6.06;8.08;7.95;8.55;9.19;9.02;8.05;7.52;6.73;5.85;5.46;5.64;6.03;4.69;4.61;
Municipios;0838;Meco;3.85;3.65;4.43;8.70;9.78;10.09;11.03;11.61;10.55;9.24;8.03;6.65;6.09;5.74;6.32;6.83;5.26;4.82;
Municipios;0843;Mejorada del Campo;3.97;4.09;4.62;8.62;9.76;9.75;10.38;11.06;10.97;9.65;8.68;7.82;7.08;6.60;6.67;7.92;6.11;5.46;
Municipios;0856;Miraflores de la Sierra;3.01;3.57;3.65;6.66;7.68;8.62;9.95;11.12;10.14;9.97;9.18;8.44;7.66;6.19;6.38;6.82;5.68;5.13;
Municipios;0869;Molar (El);2.98;3.25;4.35;7.17;8.37;8.17;9.09;9.41;9.75;9.11;8.01;7.03;6.29;5.48;5.45;6.65;5.21;4.97;
Municipios;0875;Molinos (Los);2.82;2.42;3.09;5.07;5.96;5.96;7.63;7.78;8.46;8.07;7.36;6.24;6.05;5.67;5.32;6.20;4.77;4.24;
Municipios;0881;Montejo de la Sierra;1.82;1.52;1.97;1.41;5.77;3.92;4.52;3.90;5.23;4.55;4.74;4.21;3.03;2.27;5.22;3.01;2.96;2.89;
Municipios;0894;Moraleja de Enmedio;3.46;3.24;4.75;7.83;8.22;8.68;9.69;10.84;9.98;8.20;7.24;6.90;5.99;5.76;5.56;6.48;4.92;4.47;
Municipios;0908;Moralzarzal;3.22;3.19;3.96;5.94;7.04;6.71;7.88;8.01;7.27;6.30;5.95;5.16;4.91;4.43;4.84;5.50;4.17;3.79;
Municipios;0915;Morata de Tajuña;3.59;3.83;4.44;8.47;10.63;10.44;12.65;13.58;12.44;11.24;9.94;8.86;8.14;7.43;7.48;8.46;6.82;5.91;
Municipios;0920;Móstoles;4.88;4.84;5.37;8.22;9.25;9.39;10.25;11.26;10.66;9.54;8.58;7.52;6.81;6.08;6.14;7.31;5.73;5.14;
Municipios;0936;Navacerrada;3.90;4.12;4.37;5.06;5.53;5.54;6.44;7.06;7.09;5.95;5.30;4.60;3.47;3.97;4.40;5.56;4.07;4.05;
Municipios;0941;Navalafuente;4.11;4.17;5.87;10.79;11.89;10.20;13.20;12.92;11.64;10.32;11.37;8.66;8.66;7.25;7.35;8.77;6.35;6.48;
Municipios;0954;Navalagamella;2.77;3.45;4.03;7.33;9.44;9.97;10.45;10.02;10.87;10.03;8.96;7.86;6.88;6.32;6.83;6.95;6.19;6.00;
Municipios;0967;Navalcarnero;4.56;4.38;4.99;8.15;9.31;9.32;10.38;11.37;10.62;9.85;8.84;7.62;6.74;5.95;5.96;7.04;5.85;4.85;
Municipios;0973;Navarredonda y San Mamés;1.39;3.55;2.65;5.63;4.29;5.48;4.96;7.81;5.43;7.35;4.55;6.11;1.64;5.43;5.43;3.55;4.35;4.00;
Municipios;0992;Navas del Rey;5.02;4.77;5.57;9.37;11.65;10.92;13.65;14.61;13.67;13.93;12.11;10.25;8.90;7.61;7.62;8.52;6.70;5.70;
Municipios;1006;Nuevo Baztán;3.71;3.41;4.32;6.79;8.53;8.59;9.06;9.94;10.15;8.94;7.59;6.86;6.21;6.04;6.59;7.81;5.61;5.65;
Municipios;1013;Olmeda de las Fuentes;4.25;4.65;4.24;6.06;6.17;6.72;5.92;7.06;6.59;5.33;5.52;3.01;4.62;4.60;4.62;3.92;3.19;4.98;
Municipios;1028;Orusco de Tajuña;5.21;5.02;4.59;7.52;11.10;10.49;12.69;13.46;12.47;10.24;9.31;8.29;8.07;7.96;7.72;9.45;7.62;6.71;
Municipios;1049;Paracuellos de Jarama;2.89;2.64;2.86;4.35;5.22;4.96;5.82;5.93;5.45;5.00;4.16;3.84;3.69;3.28;3.20;4.11;3.27;3.01;
Municipios;1065;Parla;4.97;5.03;6.05;10.05;11.94;11.67;12.78;13.33;12.75;11.51;10.51;9.07;8.17;7.50;7.55;8.81;7.04;6.30;
Municipios;1071;Patones;4.76;2.70;2.90;3.94;5.06;4.66;5.95;5.58;4.14;4.39;6.33;4.34;4.21;2.96;2.97;4.77;2.99;3.71;
Municipios;1087;Pedrezuela;2.53;3.12;3.35;5.80;7.52;7.79;8.86;9.25;8.63;7.61;7.40;6.82;5.59;5.14;4.99;5.97;4.69;4.31;
Municipios;1090;Pelayos de la Presa;4.71;4.98;6.87;8.95;12.50;12.82;12.56;14.03;11.87;11.85;11.57;11.83;11.15;9.63;9.08;11.64;9.10;7.14;
Municipios;1104;Perales de Tajuña;3.52;3.56;4.05;8.01;9.47;10.24;12.55;12.27;11.48;11.42;11.11;9.34;10.21;9.30;9.30;10.40;9.14;7.97;
Municipios;1111;Pezuela de las Torres;3.53;3.09;3.52;6.90;9.23;10.45;11.31;10.90;10.19;7.79;6.05;6.13;5.36;4.75;4.50;6.15;3.97;5.53;
Municipios;1126;Pinilla del Valle;1.96;7.73;4.86;3.06;3.83;6.57;7.91;7.62;9.27;7.00;5.21;4.86;3.74;3.14;5.79;6.12;5.56;4.90;
Municipios;1132;Pinto;3.64;3.57;4.54;7.48;8.87;8.84;9.66;10.53;10.04;9.16;8.17;7.05;6.55;5.92;6.20;7.22;5.57;5.04;
Municipios;1147;Piñuécar-Gandullas;2.72;3.26;3.63;3.96;6.25;6.36;7.14;9.09;5.81;6.86;5.95;4.37;7.02;3.78;6.70;8.65;4.35;2.25;
Municipios;1150;Pozuelo de Alarcón;2.19;2.17;2.37;3.30;4.00;3.97;4.25;4.41;4.21;3.84;3.26;3.12;2.82;2.67;2.70;3.16;2.53;2.35;
Municipios;1163;Pozuelo del Rey;3.32;3.36;5.73;7.12;9.39;9.02;9.72;10.46;10.44;7.75;7.83;6.19;6.25;5.58;6.74;8.32;5.86;6.14;
Municipios;1179;Prádena del Rincón;3.74;4.55;2.63;5.74;9.45;9.30;7.09;8.73;10.61;4.10;6.72;3.79;4.27;2.56;2.40;2.01;2.72;4.00;
Municipios;1185;Puebla de la Sierra;4.85;4.59;0.93;3.64;8.11;5.88;5.05;12.50;13.25;10.96;6.06;6.56;1.67;7.69;6.85;4.00;2.38;5.05;
Municipios;9020;Puentes Viejas;6.36;3.80;4.80;5.30;7.86;6.20;7.35;7.10;9.19;8.07;7.50;7.75;7.63;6.33;4.86;5.70;4.30;3.68;
Municipios;1198;Quijorna;3.17;2.65;3.00;5.77;6.98;6.58;7.89;8.84;8.48;7.45;6.55;6.40;5.81;5.18;4.83;6.35;5.16;4.45;
Municipios;1202;Rascafría;2.17;1.95;2.04;3.65;5.89;5.79;7.26;6.76;6.51;8.22;6.86;4.96;4.75;4.51;4.41;5.36;5.18;4.26;
Municipios;1219;Redueña;1.75;2.66;4.51;5.38;5.40;5.32;6.87;7.04;7.47;7.72;5.36;5.65;4.45;4.62;4.07;10.20;4.36;4.61;
Municipios;1224;Ribatejada;4.37;4.07;4.32;7.68;8.69;8.40;9.49;9.48;10.89;11.46;10.45;8.12;9.63;7.15;7.62;8.11;7.12;5.70;
Municipios;1230;Rivas-Vaciamadrid;3.29;2.91;3.16;5.14;6.18;6.39;6.77;7.41;7.27;6.62;6.08;5.49;5.04;4.57;4.57;5.50;4.32;4.13;
Municipios;1245;Robledillo de la Jara;0.82;0.00;3.08;4.41;4.26;3.88;7.55;12.75;10.68;11.00;7.07;4.60;4.60;2.50;4.21;3.09;5.26;7.41;
Municipios;1258;Robledo de Chavela;4.01;3.67;4.06;6.48;7.51;6.94;8.85;9.45;8.22;8.14;8.25;6.75;6.32;5.64;6.30;7.50;6.71;5.84;
Municipios;1261;Robregordo;0.00;1.41;3.23;1.64;1.64;6.06;7.69;5.00;9.62;4.17;2.22;0.00;2.08;3.45;4.62;2.82;4.29;5.06;
Municipios;1277;Rozas de Madrid (Las);2.71;2.62;2.56;3.76;4.63;4.54;5.01;5.43;4.99;4.59;4.06;3.64;3.31;3.07;3.25;3.79;3.01;2.66;
Municipios;1283;Rozas de Puerto Real;5.43;3.49;6.97;7.28;12.11;9.87;12.58;12.40;10.34;10.13;11.26;5.81;6.26;5.28;3.96;7.12;4.68;6.06;
Municipios;1296;San Agustín del Guadalix;3.23;2.86;3.35;5.15;6.02;6.24;6.67;7.45;7.10;6.32;5.36;5.16;4.51;3.94;3.91;5.05;3.93;3.60;
Municipios;1300;San Fernando de Henares;3.44;4.18;4.03;6.84;7.57;8.21;8.82;9.69;9.68;8.74;7.95;6.79;6.47;5.83;5.98;7.37;5.84;5.30;
Municipios;1317;San Lorenzo de El Escorial;3.20;2.88;3.16;4.77;5.32;5.80;6.60;6.99;6.72;6.00;5.75;5.43;5.08;4.43;4.95;6.10;4.75;4.00;
Municipios;1338;San Martín de Valdeiglesias;5.77;5.31;5.91;9.07;10.68;11.04;12.99;14.08;11.80;11.39;10.82;9.46;8.57;7.55;7.49;9.29;7.42;6.98;
Municipios;1322;San Martín de la Vega;3.43;3.44;4.23;8.02;10.31;10.47;11.32;11.86;11.60;10.94;9.73;8.89;7.56;6.92;7.14;8.74;6.78;6.29;
Municipios;1343;San Sebastián de los Reyes;3.43;3.48;3.80;6.08;7.23;6.98;7.65;8.32;8.02;7.11;6.35;5.51;4.91;4.46;4.43;5.42;4.16;3.78;
Municipios;1356;Santa María de la Alameda;2.98;3.30;5.26;6.17;8.85;7.90;11.33;10.63;9.90;9.92;9.69;8.77;8.71;7.42;7.19;8.64;6.60;7.05;
