Codigo_Valor;Nombre;Valor;Year;Indicador;lau_id
2.10-2023-281277;Rozas de Madrid (Las);5;2023;2.10;281277
2.10-2023-281283;Rozas de Puerto Real;10;2023;2.10;281283
2.10-2023-281296;San Agustín del Guadalix;2;2023;2.10;281296
2.10-2023-281300;San Fernando de Henares;3;2023;2.10;281300
2.10-2023-281317;San Lorenzo de El Escorial;11;2023;2.10;281317
2.10-2023-281338;San Martín de Valdeiglesias;10;2023;2.10;281338
2.10-2023-281322;San Martín de la Vega;4;2023;2.10;281322
2.10-2023-281343;San Sebastián de los Reyes;2;2023;2.10;281343
2.10-2023-281356;Santa María de la Alameda;10;2023;2.10;281356
2.10-2023-281369;Santorcaz;8;2023;2.10;281369
2.10-2023-281375;Santos de la Humosa (Los);8;2023;2.10;281375
2.10-2023-281381;Serna del Monte (La);6;2023;2.10;281381
2.10-2023-281408;Serranillos del Valle;9;2023;2.10;281408
2.10-2023-281415;Sevilla la Nueva;9;2023;2.10;281415
2.10-2023-281436;Somosierra;6;2023;2.10;281436
2.10-2023-281441;Soto del Real;11;2023;2.10;281441
2.10-2023-281454;Talamanca de Jarama;7;2023;2.10;281454
2.10-2023-281467;Tielmes;8;2023;2.10;281467
2.10-2023-281473;Titulcia;8;2023;2.10;281473
2.10-2023-281489;Torrejón de Ardoz;3;2023;2.10;281489
2.10-2023-281505;Torrejón de Velasco;9;2023;2.10;281505
2.10-2023-281492;Torrejón de la Calzada;9;2023;2.10;281492
2.10-2023-281512;Torrelaguna;6;2023;2.10;281512
2.10-2023-281527;Torrelodones;5;2023;2.10;281527
2.10-2023-281533;Torremocha de Jarama;6;2023;2.10;281533
2.10-2023-281548;Torres de la Alameda;8;2023;2.10;281548
2.10-2023-289036;Tres Cantos;2;2023;2.10;289036
2.10-2023-281551;Valdaracete;8;2023;2.10;281551
2.10-2023-281564;Valdeavero;7;2023;2.10;281564
2.10-2023-281570;Valdelaguna;8;2023;2.10;281570
2.10-2023-281586;Valdemanco;6;2023;2.10;281586
2.10-2023-281599;Valdemaqueda;10;2023;2.10;281599
2.10-2023-281603;Valdemorillo;11;2023;2.10;281603
2.10-2023-281610;Valdemoro;4;2023;2.10;281610
2.10-2023-281625;Valdeolmos-Alalpardo;7;2023;2.10;281625
2.10-2023-281631;Valdepiélagos;7;2023;2.10;281631
2.10-2023-281646;Valdetorres de Jarama;7;2023;2.10;281646
2.10-2023-281659;Valdilecha;8;2023;2.10;281659
2.10-2023-281662;Valverde de Alcalá;8;2023;2.10;281662
2.10-2023-281678;Velilla de San Antonio;3;2023;2.10;281678
2.10-2023-281684;Vellón (El);6;2023;2.10;281684
2.10-2023-281697;Venturada;6;2023;2.10;281697
2.10-2023-281718;Villa del Prado;9;2023;2.10;281718
2.10-2023-281701;Villaconejos;8;2023;2.10;281701
2.10-2023-281723;Villalbilla;8;2023;2.10;281723
2.10-2023-281739;Villamanrique de Tajo;8;2023;2.10;281739
2.10-2023-281744;Villamanta;9;2023;2.10;281744
2.10-2023-281757;Villamantilla;9;2023;2.10;281757
2.10-2023-281782;Villanueva de Perales;9;2023;2.10;281782
2.10-2023-281760;Villanueva de la Cañada;5;2023;2.10;281760
2.10-2023-281776;Villanueva del Pardillo;11;2023;2.10;281776
2.10-2023-281795;Villar del Olmo;8;2023;2.10;281795
2.10-2023-281809;Villarejo de Salvanés;8;2023;2.10;281809
2.10-2023-281816;Villaviciosa de Odón;5;2023;2.10;281816
2.10-2023-281821;Villavieja del Lozoya;6;2023;2.10;281821
2.10-2023-281837;Zarzalejo;10;2023;2.10;281837
2.11-2023-280014;Acebeda (La);21.86;2023;2.11;280014
2.11-2023-280029;Ajalvir;19.8;2023;2.11;280029
2.11-2023-280035;Alameda del Valle;25.7;2023;2.11;280035
2.11-2023-280040;Alamo (El);22.0;2023;2.11;280040
2.11-2023-280053;Alcalá de Henares;88.11;2023;2.11;280053
2.11-2023-280066;Alcobendas;45.24;2023;2.11;280066
2.11-2023-280072;Alcorcón;33.57;2023;2.11;280072
2.11-2023-280088;Aldea del Fresno;51.66;2023;2.11;280088
2.11-2023-280091;Algete;38.01;2023;2.11;280091
2.11-2023-280105;Alpedrete;12.66;2023;2.11;280105
2.11-2023-280112;Ambite;51.6;2023;2.11;280112
2.11-2023-280127;Anchuelo;21.59;2023;2.11;280127
2.11-2023-280133;Aranjuez;189.01;2023;2.11;280133
2.11-2023-280148;Arganda del Rey;80.27;2023;2.11;280148
2.11-2023-280151;Arroyomolinos;20.78;2023;2.11;280151
2.11-2023-280164;Atazar (El);28.43;2023;2.11;280164
2.11-2023-280170;Batres;21.36;2023;2.11;280170
2.11-2023-280186;Becerril de la Sierra;29.64;2023;2.11;280186
2.11-2023-280199;Belmonte de Tajo;24.07;2023;2.11;280199
2.11-2023-280210;Berrueco (El);28.4;2023;2.11;280210
2.11-2023-280203;Berzosa del Lozoya;14.62;2023;2.11;280203
2.11-2023-280225;Boadilla del Monte;47.38;2023;2.11;280225
2.11-2023-280231;Boalo (El);39.4;2023;2.11;280231
2.11-2023-280246;Braojos;24.93;2023;2.11;280246
2.11-2023-280259;Brea de Tajo;44.73;2023;2.11;280259
2.11-2023-280262;Brunete;49.17;2023;2.11;280262
2.11-2023-280278;Buitrago del Lozoya;25.92;2023;2.11;280278
2.11-2023-280284;Bustarviejo;56.13;2023;2.11;280284
2.11-2023-280297;Cabanillas de la Sierra;13.81;2023;2.11;280297
2.11-2023-280301;Cabrera (La);22.14;2023;2.11;280301
