Serie;Codigo_municipio;Nombre;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;contratos_primario_indefinidos;contratos_primario_temp;contratos_primario_total;contratos_secundario_indefinidos;contratos_secundario_temp;contratos_secundario_total;contratos_indefinidos;contratos_terciario_indefinidos;contratos_terciario_temp;contratos_terciario_total;contratos_temp;contratos_porcentaje_indefinidos;contratos_porcentaje_temp;contratos_total_registrados;densidad_poblacion;distancia_capital;ocupados_primario;ocupados_secundario;ocupados_terciario;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_primario;paro_secundario;paro_terciario;poblacion_censada;sector;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario;unidades_productivas_total
Municipios;0421;Colmenar del Arroyo;280421;10;Sierra Sur;49.31;1;2;3;16;45;61;67;50;313;363;360;15.69;84.31;427;36.20;61.175;18;254;1890;0.16;0.01;0.13;25.2;0.0;24.05;0;0;0;0;5;13;91;1.785;Terciario;15;47;291;172
Municipios;0442;Colmenarejo;280442;11;Sierra Central;31.49;2;2;4;20;213;233;99;77;507;584;722;12.06;87.94;821;293.02;37.111;7;518;6418;0.07;0.0;0.07;17.28;0.0;17.28;0;0;0;0;2;73;400;9.230;Terciario;5;158;1332;737
Municipios;0480;Corpa;280480;08;Sudeste Comunidad;25.94;0;0;0;1;1;2;7;6;34;40;35;16.67;83.33;42;27.85;46.516;2;11;172;0.34;0.02;0.0;13.27;0.0;0.0;0;0;0;0;0;7;38;723;Terciario;2;11;74;41
Municipios;0493;Coslada;280493;03;Este Metropolitano;12.02;0;35;35;482;1843;2325;3236;2754;24096;26850;25974;11.08;88.92;29210;6765.67;12.887;24;8372;65242;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;17;769;3625;81.391;Terciario;19;1833;13793;7658
Municipios;0506;Cubas de la Sagra;280506;09;Sudoeste Comunidad;12.89;1;7;8;49;257;306;391;341;270;611;534;42.27;57.73;925;506.90;36.177;10;867;2416;0.09;0.0;0.02;2.48;0.0;0.08;0;0;0;0;1;62;230;6.539;Terciario;9;188;873;516
Municipios;0534;Daganzo de Arriba;280534;07;Nordeste Comunidad;43.40;0;2;2;129;1679;1808;330;201;949;1150;2630;11.15;88.85;2960;237.96;36.597;22;3123;7455;0.3;0.03;0.03;42.33;0.0;3.24;0;0;0;0;3;93;387;10.337;Terciario;21;347;1885;1069
Municipios;0549;Escorial (El);280549;11;Sierra Central;68.81;2;7;9;16;89;105;270;252;1108;1360;1204;18.32;81.68;1474;237.79;51.323;34;337;7531;0.37;0.01;0.36;34.85;0.0;34.82;0;0;0;0;9;96;715;2.004;Terciario;31;240;2856;1543
Municipios;0552;Estremera;280552;08;Sudeste Comunidad;79.13;3;408;411;11;27;38;36;22;215;237;650;5.25;94.75;686;16.84;72.696;50;68;2189;1.26;0.09;0.09;53.76;0.0;0.97;0;0;0;0;2;21;62;1.334;Terciario;24;35;247;151
Municipios;0565;Fresnedillas de la Oliva;280565;10;Sierra Sur;28.34;0;0;0;1;39;40;10;9;64;73;103;8.85;91.15;113;58.09;69.753;8;52;495;0.18;0.01;0.18;9.09;0.0;9.08;0;0;0;0;2;16;86;1.651;Terciario;6;31;257;144
Municipios;0571;Fresno de Torote;280571;07;Nordeste Comunidad;31.75;1;2;3;5;32;37;13;7;52;59;86;13.13;86.87;99;72.34;46.990;7;91;509;0.09;0.01;0.02;20.73;0.0;1.1;0;0;0;0;5;22;98;2.299;Terciario;5;61;270;162
Municipios;0587;Fuenlabrada;280587;04;Sur Metropolitano;39.18;2;13;15;1175;8037;9212;5335;4158;23054;27212;31104;14.64;85.36;36439;4960.83;25.824;97;22689;104614;0.24;0.06;0.03;13.32;0.0;3.89;67.81;40.68;409.31;490.91;66;2245;10161;194.514;Terciario;79;4943;30111;16940
