Serie;Codigo_municipio;Nombre;paro_25_44_2022;paro_25_44_2023;paro_mayores_25_2022;paro_mayores_25_2023;paro_mayores_45_2022;paro_mayores_45_2023;paro_menores_25_2022;paro_menores_25_2023;paro_100_habitantes_2022;paro_100_habitantes_2023;paro_registrado_total_2022;paro_registrado_total_2023;porcentaje_paro_mayores_25_2022;porcentaje_paro_mayores_25_2023;porcentaje_paro_menores_25_2022;porcentaje_paro_menores_25_2023;variacion_paro_registrado_2022;variacion_paro_registrado_2023
Municipios;0730;Humanes de Madrid;571;499;1166;1053;595;554;103;116;6.40;5.87;1269;1169;91.88;90.08;8.12;9.92;-20.69;-7.88
Municipios;0745;Leganés;3979;3395;9715;8805;5736;5410;813;786;5.64;5.03;10528;9591;92.28;91.80;7.72;8.20;-21.23;-8.90
Municipios;0758;Loeches;185;149;473;429;288;280;45;49;5.79;5.25;518;478;91.31;89.75;8.69;10.25;-13.81;-7.72
Municipios;0761;Lozoya;7;11;27;30;20;19;1;2;4.65;5.15;28;32;96.43;93.75;3.57;6.25;-9.68;14.29
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;21;27;62;73;41;46;5;4;4.59;5.19;67;77;92.54;94.81;7.46;5.19;-41.74;14.93
Municipios;0783;Madarcos;0;0;1;1;1;1;0;0;1.59;1.39;1;1;100.00;100.00;0.00;0.00;0.00;0.00
Municipios;0796;Madrid;58938;54392;149239;138992;90301;84600;10172;10271;4.86;4.48;159411;149263;93.62;93.12;6.38;6.88;-25.66;-6.37
Municipios;0800;Majadahonda;676;612;2066;1912;1390;1300;91;65;2.99;2.73;2157;1977;95.78;96.71;4.22;3.29;-25.18;-8.34
Municipios;0822;Manzanares el Real;159;141;416;409;257;268;18;24;4.69;4.61;434;433;95.85;94.46;4.15;5.54;-21.80;-0.23
Municipios;0838;Meco;303;271;748;678;445;407;48;65;5.26;4.82;796;743;93.97;91.25;6.03;8.75;-21.81;-6.66
Municipios;0843;Mejorada del Campo;592;505;1350;1198;758;693;110;128;6.11;5.46;1460;1326;92.47;90.35;7.53;9.65;-22.34;-9.18
