Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado por edad y sexo.Total. Porcentaje de parados registrados en las oficinas de empleo de 25 años y más. Unidad: Número. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0647;Gascones;100.00;90.00;66.67;66.67;68.75;78.57;76.47;86.67;100.00;100.00;91.67;91.67;100.00;100.00;83.33;81.82;69.23;90.00;
Municipios;0650;Getafe;87.32;87.41;88.06;87.17;87.62;87.89;88.56;90.22;91.20;91.21;92.09;92.27;92.14;91.52;91.83;90.76;92.52;91.78;
Municipios;0663;Griñón;87.36;87.39;89.51;84.71;89.14;88.18;87.14;89.70;90.59;91.26;92.44;92.29;92.44;90.11;91.10;90.21;92.75;91.11;
Municipios;0679;Guadalix de la Sierra;86.86;91.13;90.42;85.11;86.23;89.09;86.45;88.85;90.18;91.37;92.38;90.99;91.50;91.97;90.86;90.00;95.99;94.86;
Municipios;0685;Guadarrama;84.43;86.41;87.04;87.10;89.68;87.97;88.14;90.51;90.60;89.60;92.49;92.13;91.18;91.30;91.55;90.97;91.91;92.16;
Municipios;0698;Hiruela (La);100.00;100.00;100.00;100.00;100.00;100.00;-;-;-;-;-;100.00;100.00;100.00;100.00;100.00;100.00;100.00;
Municipios;0702;Horcajo de la Sierra-Aoslos;100.00;100.00;100.00;100.00;80.00;100.00;88.89;100.00;80.00;100.00;90.00;85.71;71.43;100.00;100.00;100.00;100.00;100.00;
Municipios;0719;Horcajuelo de la Sierra;100.00;100.00;100.00;100.00;75.00;50.00;77.78;100.00;100.00;83.33;100.00;100.00;100.00;100.00;100.00;87.50;100.00;100.00;
Municipios;0724;Hoyo de Manzanares;92.02;91.35;89.04;89.54;91.41;90.71;89.22;92.99;95.06;93.82;95.49;94.82;93.20;94.53;93.91;93.53;94.04;95.71;
Municipios;0730;Humanes de Madrid;81.80;84.24;82.29;82.95;84.64;85.89;87.15;88.68;89.44;89.08;90.60;91.84;92.48;88.54;89.30;89.19;91.88;90.08;
Municipios;0745;Leganés;87.50;88.13;87.65;85.82;86.46;87.44;88.13;89.08;89.90;90.10;90.80;91.55;91.53;90.97;90.60;89.92;92.28;91.80;
Municipios;0758;Loeches;88.70;86.04;91.37;84.29;87.38;87.35;88.66;90.95;91.54;90.80;91.14;92.08;91.81;90.85;91.27;90.85;91.31;89.75;
Municipios;0761;Lozoya;90.91;88.24;78.95;96.67;91.11;83.33;94.00;97.87;97.73;95.56;94.44;100.00;100.00;95.65;93.10;93.55;96.43;93.75;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;97.14;93.75;93.10;90.91;92.39;94.25;95.00;96.46;97.22;93.69;98.92;94.44;93.42;95.71;93.24;89.57;92.54;94.81;
Municipios;0783;Madarcos;100.00;100.00;-;-;66.67;100.00;100.00;83.33;100.00;100.00;100.00;100.00;100.00;100.00;100.00;-;100.00;100.00;
Municipios;0796;Madrid;90.26;90.32;90.22;89.32;90.12;90.57;90.86;92.37;92.92;92.91;93.00;92.98;92.48;92.37;92.67;91.47;93.62;93.12;
Municipios;0800;Majadahonda;93.83;93.92;93.54;93.74;93.72;94.21;93.19;95.14;95.39;94.91;96.02;96.13;94.80;95.15;95.27;93.31;95.78;96.71;
Municipios;0822;Manzanares el Real;93.33;90.24;89.60;88.15;88.21;91.22;92.06;93.24;94.85;93.72;93.98;92.66;93.64;92.34;93.25;92.25;95.85;94.46;
Municipios;0838;Meco;87.12;85.05;84.63;82.05;84.31;83.74;85.34;86.67;88.67;89.07;88.96;92.24;90.94;91.47;91.05;89.78;93.97;91.25;
Municipios;0843;Mejorada del Campo;80.14;83.28;83.17;80.92;83.96;85.20;86.88;88.62;89.91;89.50;90.64;89.97;89.79;89.32;90.81;89.68;92.47;90.35;
