Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado total. Evolución del porcentaje de paro registrado. Unidad: Porcentaje. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Municipios;1261;Robregordo;1.41;1.82;-1.59;0.00;4.42;1.63;-2.69;4.62;-5.45;-1.94;-2.22;2.08;1.36;1.17;-1.80;1.47;
Municipios;1277;Rozas de Madrid (Las);-0.08;-0.06;1.20;0.87;-0.08;0.47;0.41;-0.43;-0.40;-0.53;0.42;-0.33;-0.24;0.17;0.54;-0.78;
Municipios;1283;Rozas de Puerto Real;-1.94;3.47;0.31;4.83;-2.24;2.71;-0.18;-2.05;-0.21;1.12;-5.45;0.46;-0.98;-1.32;3.15;-2.44;
Municipios;1296;San Agustín del Guadalix;-0.37;0.49;1.80;0.88;0.21;0.43;0.78;-0.35;-0.79;-0.96;0.20;-0.65;-0.57;-0.03;1.13;-1.11;
Municipios;1300;San Fernando de Henares;0.75;-0.15;2.81;0.74;0.63;0.61;0.87;-0.01;-0.94;-0.79;-1.16;-0.32;-0.64;0.16;1.39;-1.53;
Municipios;1317;San Lorenzo de El Escorial;-0.32;0.28;1.61;0.54;0.48;0.80;0.39;-0.27;-0.71;-0.25;0.33;-0.35;-0.65;0.52;1.15;-1.35;
Municipios;1338;San Martín de Valdeiglesias;-0.45;0.59;3.16;1.61;0.35;1.96;1.08;-2.28;-0.41;-0.57;-1.36;-0.89;-1.02;-0.06;1.80;-1.87;
Municipios;1322;San Martín de la Vega;0.02;0.78;3.79;2.29;0.16;0.85;0.55;-0.27;-0.65;-1.22;0.84;-1.32;-0.64;0.21;1.61;-1.96;
Municipios;1343;San Sebastián de los Reyes;0.04;0.33;2.28;1.15;-0.25;0.67;0.67;-0.30;-0.91;-0.76;0.84;-0.61;-0.45;-0.03;0.99;-1.26;
Municipios;1356;Santa María de la Alameda;0.32;1.96;0.90;2.68;-0.95;3.43;-0.70;-0.73;0.02;-0.24;0.92;-0.06;-1.30;-0.22;1.44;-2.03;
